Wavelength	As-cast	Co-facial	End-on
1024.54553	0.11156	0.11089	0.13579
1024.04956	0.10896	0.11175	0.1366
1023.55341	0.11033	0.11085	0.13295
1023.05713	0.11103	0.10942	0.13406
1022.56067	0.11187	0.11167	0.13509
1021.93988	0.11201	0.11412	0.13747
1021.44305	0.10834	0.11395	0.13391
1020.94605	0.11197	0.11239	0.136
1020.44898	0.11278	0.11256	0.13626
1019.95166	0.11153	0.11278	0.13378
1019.45422	0.11231	0.10975	0.13598
1018.9566	0.11323	0.11472	0.1342
1018.45886	0.11361	0.11181	0.1369
1017.96094	0.11414	0.11348	0.13711
1017.46289	0.11381	0.11308	0.13745
1016.96466	0.11286	0.1142	0.13835
1016.46631	0.11568	0.11222	0.13749
1015.96777	0.11606	0.11587	0.13889
1015.46906	0.11329	0.11534	0.13899
1014.97022	0.1165	0.11349	0.13833
1014.47119	0.11652	0.11534	0.14098
1013.97205	0.1163	0.11418	0.14017
1013.47272	0.11428	0.11582	0.13829
1012.97321	0.1187	0.11613	0.13961
1012.47357	0.11665	0.116	0.14132
1011.97382	0.11619	0.1161	0.14257
1011.47388	0.11662	0.11567	0.13917
1010.97376	0.11638	0.1174	0.14138
1010.47351	0.11859	0.11697	0.13974
1009.97308	0.11593	0.11671	0.14046
1009.47253	0.1189	0.11638	0.14405
1008.9718	0.1187	0.11813	0.14004
1008.47095	0.11729	0.11843	0.14454
1007.96991	0.11925	0.11716	0.1438
1007.46869	0.1185	0.11849	0.1435
1006.96735	0.11834	0.11498	0.1434
1006.46582	0.12157	0.11836	0.143
1005.96417	0.12159	0.117	0.14313
1005.4624	0.11869	0.1183	0.14178
1004.96039	0.11961	0.11973	0.14402
1004.45831	0.12154	0.11684	0.14373
1003.95599	0.12069	0.11821	0.14274
1003.45361	0.12164	0.11781	0.14414
1002.95099	0.12025	0.11948	0.14586
1002.44824	0.12168	0.12048	0.14447
1001.94537	0.12166	0.11778	0.14481
1001.44232	0.12298	0.11933	0.14515
1000.93915	0.12231	0.11805	0.14828
1000.56165	0.1227	0.1191	0.14549
1000.05817	0.12225	0.12024	0.14621
999.5545	0.12321	0.12124	0.14839
999.05072	0.12372	0.12041	0.14715
998.54681	0.12413	0.11929	0.14615
998.04272	0.12509	0.12119	0.14756
997.53845	0.12366	0.1208	0.14728
997.03406	0.12674	0.12083	0.14909
996.52954	0.12621	0.12142	0.14842
996.02484	0.12593	0.12199	0.14768
995.51996	0.12636	0.12215	0.14984
995.01495	0.12626	0.1217	0.14941
994.50983	0.12667	0.12221	0.14885
994.00452	0.12695	0.12311	0.14983
993.49902	0.12712	0.12184	0.15007
992.99341	0.12782	0.12266	0.15085
992.48761	0.12784	0.12258	0.15088
991.98169	0.12685	0.12285	0.15104
991.47565	0.12799	0.12435	0.15183
990.96936	0.12999	0.12436	0.15242
990.46301	0.12895	0.12386	0.15042
989.95648	0.12967	0.12362	0.1536
989.44977	0.13044	0.12164	0.15131
988.94293	0.13089	0.12429	0.15299
988.56268	0.13031	0.12402	0.15292
988.0556	0.1312	0.1245	0.1529
987.54834	0.13128	0.12361	0.15494
987.04089	0.13184	0.12439	0.15478
986.53333	0.13348	0.12481	0.15397
986.02563	0.13394	0.12528	0.15329
985.51776	0.13234	0.12474	0.15581
985.0097	0.13185	0.12429	0.15485
984.50153	0.13332	0.12423	0.15667
983.99323	0.13318	0.12549	0.1559
983.48474	0.13328	0.12608	0.1561
982.97614	0.13409	0.1266	0.15774
982.46735	0.13327	0.12504	0.15726
981.95837	0.13406	0.12647	0.15711
981.44934	0.13566	0.12574	0.15857
980.94006	0.13682	0.1265	0.1582
980.55804	0.13647	0.12795	0.15904
980.04852	0.13684	0.12734	0.15942
979.53888	0.13631	0.12739	0.15966
979.02911	0.13719	0.12742	0.1594
978.51917	0.13824	0.12756	0.15988
978.00903	0.13766	0.12743	0.15952
977.49878	0.13828	0.12825	0.16054
976.9884	0.139	0.12827	0.16129
976.47784	0.13944	0.12923	0.16183
975.9671	0.13926	0.12916	0.16034
975.4563	0.14044	0.1285	0.16217
974.94525	0.14094	0.1287	0.16313
974.56189	0.14183	0.12908	0.16326
974.05066	0.14173	0.12956	0.16388
973.53925	0.14315	0.1298	0.16503
973.02765	0.1426	0.13103	0.16335
972.51593	0.14325	0.12914	0.16463
972.00409	0.14357	0.13017	0.16557
971.49207	0.14323	0.13059	0.16621
970.97986	0.14442	0.12975	0.16533
970.46753	0.14522	0.13105	0.16627
969.95508	0.14533	0.13063	0.16476
